Time,Users
6/1/15,59237
6/2/15,56541
6/3/15,57408
6/4/15,50956
6/5/15,54322
6/6/15,63627
6/7/15,50378
6/8/15,39647
6/9/15,37950
6/10/15,35727
6/11/15,36357
6/12/15,46365
6/13/15,50752
6/14/15,48336
6/15/15,40030
6/16/15,38388
6/17/15,38314
6/18/15,41807
6/19/15,44038
6/20/15,46654
6/21/15,44440
6/22/15,39816
6/23/15,38745
6/24/15,38406
6/25/15,39490
6/26/15,47117
6/27/15,51169
6/28/15,50747
6/29/15,51087
6/30/15,62609
7/1/15,69835
7/2/15,89480
7/3/15,46643
7/4/15,42755
7/5/15,41928
7/6/15,38370
7/7/15,35030
7/8/15,34248
7/9/15,36073
7/10/15,39478
7/11/15,40942
7/12/15,39352
7/13/15,36964
7/14/15,36811
7/15/15,35261
7/16/15,39570
7/17/15,41923
7/18/15,42691
7/19/15,41916
7/20/15,40276
7/21/15,37846
7/22/15,38832
7/23/15,47922
7/24/15,62077
7/25/15,57462
7/26/15,56448
7/27/15,52682
7/28/15,52112
7/29/15,49895
7/30/15,40201
7/31/15,35173
8/1/15,34897
8/2/15,38858
8/3/15,40802
8/4/15,41482
8/5/15,37949
8/6/15,35697
8/7/15,32410
8/8/15,33007
8/9/15,32172
8/10/15,29253
8/11/15,27967
8/12/15,28438
8/13/15,28164
8/14/15,25932
8/15/15,27390
8/16/15,26958
8/17/15,24524
8/18/15,24184
8/19/15,23814
8/20/15,23595
8/21/15,27822
8/22/15,29288
8/23/15,27571
8/24/15,23495
8/25/15,23447
8/26/15,22594
8/27/15,24754
8/28/15,27936
8/29/15,32761
8/30/15,32089
8/31/15,27277
9/1/15,27203
9/2/15,29903
9/3/15,30125
9/4/15,33076
9/5/15,36994
9/6/15,33268
9/7/15,28261
9/8/15,23343
9/9/15,22621
9/10/15,22658
9/11/15,33027
9/12/15,43268
9/13/15,31763
9/14/15,23395
9/15/15,22525
9/16/15,21583
9/17/15,21393
9/18/15,25792
9/19/15,32536
9/20/15,29640
9/21/15,21528
9/22/15,21394
9/23/15,21369
9/24/15,22171
9/25/15,26040
9/26/15,33122
9/27/15,32570
9/28/15,23124
9/29/15,22612
9/30/15,22779
10/1/15,23232
10/2/15,32989
10/3/15,43324
10/4/15,39440
